feature,mutual_information_nats,support,permutation_p,bh_q
CT__MOVE_TREE_LITERAL_BINARYOPERATOR,2.203364979230099e-05,52,0.8441558441558441,1.0
CT__MOVE_TREE_VIRTUALELEMENT_METHOD,2.203364979230099e-05,52,0.7982017982017982,1.0
CT__INSERT_NODE_TYPEACCESS_THISACCESS,2.156822641536174e-05,13,1.0,1.0
CT__MOVE_TREE_VARIABLEREAD_RETURN,2.156822641536174e-05,13,1.0,1.0
CT__UPDATE_NODE_LOCALVARIABLE_BLOCK,1.9261988230948046e-05,141,0.5014985014985015,0.8283313325330132
CT__DELETE_NODE_BINARYOPERATOR_BINARYOPERATOR,1.8708840352321676e-05,15,1.0,1.0
CT__DELETE_NODE_TYPEACCESS_INVOCATION,1.8708840352321676e-05,15,1.0,1.0
CT__DELETE_NODE_TYPEACCESS_THISACCESS,1.8708840352321676e-05,15,1.0,1.0
CT__INSERT_NODE_TYPEACCESS_INVOCATION,1.8708840352321676e-05,15,1.0,1.0
CT__UPDATE_NODE_CONSTRUCTORCALL_INVOCATION,1.8708840352321676e-05,15,1.0,1.0
CT__UPDATE_NODE_TYPEREFERENCE_TYPEREFERENCE,1.8708840352321676e-05,15,1.0,1.0
CT__UPDATE_NODE_TYPEREFERENCE_CLASS,1.6523632479507194e-05,17,1.0,1.0
CT__INSERT_NODE_VIRTUALELEMENT_METHOD,1.340372825600969e-05,21,1.0,1.0
CT__MOVE_TREE_BINARYOPERATOR_INVOCATION,1.340372825600969e-05,21,1.0,1.0
CT__UPDATE_NODE_LAMBDA_INVOCATION,1.2251209621758768e-05,23,1.0,1.0
CT__MOVE_TREE_FIELD_CLASS,8.585718025214129e-06,33,1.0,1.0
CT__UPDATE_NODE_TYPEREFERENCE_FIELD,7.674687862321838e-06,37,1.0,1.0
CT__MOVE_TREE_TYPEREFERENCE_METHOD,6.626171095078237e-06,43,1.0,1.0
CT__MOVE_TREE_TYPEACCESS_INVOCATION,6.076002109611789e-06,47,1.0,1.0
CT__INSERT_NODE_RETURN_BLOCK,5.834631663974299e-06,49,1.0,1.0
CT__MOVE_TREE_INVOCATION_BLOCK,5.672602021722373e-06,224,0.8801198801198801,1.0
CT__UPDATE_NODE_TYPEREFERENCE_PARAMETER,4.873472553790226e-06,59,1.0,1.0
